,Name,experiment,activation_1,architecture,batch_size,dataset,volume,date_range,lookback,dropout,learning_rate,rsme,mape,loss,epoch,Runtime
53,lucky-river-84,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,50d,0.1,0.0061653237230715,741.1034648944806,5.9442798278103925,0.0017198431305587,100,425
54,dulcet-eon-83,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,50d,0.1,0.0082059080019852,376.1704799107143,3.9288767765881616,0.0022191256284713,100,215
43,dainty-elevator-95,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,60d,0.1,0.0088150568746122,826.0829697646104,6.085268074727447,0.0014034800697118,100,242
44,sandy-cosmos-94,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,60d,0.1,0.0076692976880372,573.0942319399351,4.89289922212267,0.0018324945122003,100,245
45,dulcet-wave-93,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,60d,0.1,0.0097891620043323,416.8204393262987,3.9737122356894408,0.0016528296982869,100,282
46,polar-salad-92,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,60d,0.1,0.002829150565188,904.441025771104,6.951291036653847,0.0027280529029667,100,191
47,apricot-water-91,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,60d,0.1,0.0099603080227677,472.5534953327922,4.221864852574682,0.0016084621893242,100,234
48,expert-sun-90,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,60d,0.1,0.0087764086797054,655.7314326298701,5.3361993072994425,0.0017582365544512,100,220
123,fast-cherry-7,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,05d,0.1,0.0723468404136249,585.968373388453,4.7000739046709015,0.0022019452881067,100,185
124,worthy-galaxy-6,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,05d,0.1,0.0401391081189557,14.349118904147982,2.9359460888436444,0.001000982359983,100,139
125,rose-snowball-5,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,05d,0.1,0.0527809408074883,2356.7175019268498,12.331872852305974,0.0052524865604937,100,205
126,revived-dream-4,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,05d,0.1,0.0361051169411107,1333.364743904148,7.160207335122289,0.0013631045585498,100,167
127,young-grass-3,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,05d,0.1,0.059650182566531,173.9413230451233,2.8326486700062143,0.0008053490892052,100,156
128,driven-music-1,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,05d,0.1,0.0321877957056452,1812.4263155128924,9.86262806344737,0.0010651539778336,100,1954
115,stilted-armadillo-17,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,10d,0.1,0.008668894230341,712.2912258267937,4.185943544378057,0.0009651676518842,100,1074
116,warm-jazz-16,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,10d,0.1,0.0077622831918978,281.6450786505045,2.969888602467569,0.0008169888169504,100,694
117,generous-cloud-15,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,10d,0.1,0.0026443736637587,53.55161767797085,2.741961410839497,0.0010552534367889,100,463
118,dulcet-sponge-14,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,10d,0.1,0.0573388951964939,1904.4268147421524,11.517977487289114,0.0011508733732625,100,183
121,peach-forest-11,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,10d,0.1,0.0574583931809586,343.36040411294846,3.5012884037440557,0.0012750002788379,100,183
109,magic-star-23,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,20d,0.1,0.0048539499053284,546.3352193105382,3.676111716565732,0.000990204163827,100,229
110,skilled-monkey-22,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,20d,0.1,0.0081035003079163,176.8112431684417,3.217166723739753,0.0011973893269896,100,278
111,comfy-armadillo-21,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,20d,0.1,0.0050700098389006,149.63117029848655,2.529205473070757,0.0010858403984457,100,348
112,scarlet-rain-20,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,20d,0.1,0.0051782473067079,29.61773927970852,2.5293758050115787,0.0008878480875864,100,581
113,likely-bird-19,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,20d,0.1,0.0086610647234799,289.47863824271303,2.692046550323412,0.000895551929716,100,231
114,expert-energy-18,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,20d,0.1,0.0041091333663424,92.72245480661437,2.465300087012261,0.0008392905001528,100,226
102,curious-moon-30,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,30d,0.1,0.0041228348777336,276.48885054652465,2.830451433067271,0.0010483262594789,100,341
103,charmed-sun-29,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,30d,0.1,0.0011845538239529,49.92952109024664,3.367599921600886,0.0013454568106681,100,329
104,colorful-sunset-28,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,30d,0.1,0.0056091408060102,199.38669247477577,2.643760096442177,0.0009499152074567,100,387
105,mild-blaze-27,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,30d,0.1,0.0046470129355942,177.24702652045963,2.615488788568611,0.000917645113077,100,334
106,fallen-sun-26,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,30d,0.1,0.0055720132549547,123.98472533632288,2.481071158446839,0.0008252165862359,100,413
107,snowy-cloud-25,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,30d,0.1,0.0049505319471928,650.6498913957399,4.030489048121247,0.0011455512139946,100,425
97,gallant-lion-35,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,40d,0.1,0.0012206751285216,404.32956137892376,3.78118082185013,0.0012535088462755,100,413
98,gallant-wave-34,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,40d,0.1,0.0093812877120797,208.28777063480945,2.640570679303386,0.0009918502764776,100,344
99,trim-rain-33,effect-size-ds,tanh,LSTM,64,BTC-USD,3y,2020-2023,40d,0.1,0.0087439465095632,9.448631936659194,2.314537234210777,0.0009459105785936,100,383
