Name;experiment;size-dataset;date_range;lookback;dropout;learning_rate;RSME;MAPE;mae;loss;epoch;Runtime;State;Notes;User;Tags;Created;Sweep;activation_1;architecture_name;batch_size;dataset_name;loss_function;best_epoch;best_val_loss;val_loss;val_mae
genial-pyramid-72;effect-size-ds;1y;2022-2023;30d;0,1;0,009451557;626,0838068;4,921667464;0,032865766;0,00200274;100;252;finished;-;sal-souzasa;;2023-09-13T01:26:43.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;3;309882912;309884704;17525,09375
eager-forest-71;effect-size-ds;1y;2022-2023;30d;0,1;0,008317297;816,0804332;6,036374785;0,033097737;0,002049695;100;161;finished;-;sal-souzasa;;2023-09-13T01:23:31.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309878976;309884544;17525,08789
fanciful-deluge-70;effect-size-ds;1y;2022-2023;30d;0,1;0,007233393;880,6284497;6,366183139;0,032551493;0,002014739;100;244;finished;-;sal-souzasa;;2023-09-13T01:18:45.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;309883616;309884448;17525,08789
desert-capybara-69;effect-size-ds;1y;2022-2023;20d;0,1;0,007793254;990,0055804;6,746499774;0,031759646;0,001938202;100;307;finished;-;sal-souzasa;;2023-09-13T01:12:03.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;7;309883520;309884320;17525,08203
rosy-sun-68;effect-size-ds;1y;2022-2023;20d;0,1;0,007961813;769,7283381;5,55178114;0,030030947;0,00175532;100;503;finished;-;sal-souzasa;;2023-09-13T01:02:37.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;10;309883840;309884576;17525,0918
lyric-yogurt-67;effect-size-ds;1y;2022-2023;20d;0,1;0,008932789;860,375761;5,981952694;0,032965578;0,002080863;100;355;finished;-;sal-souzasa;;2023-09-13T00:56:09.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;7;309882720;309884448;17525,08789
exalted-disco-66;effect-size-ds;1y;2022-2023;20d;0,1;0,001182587;918,8380428;7,243839987;0,043831188;0,003682075;100;183;finished;-;sal-souzasa;;2023-09-13T00:47:20.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;309877280;309884416;17525,08594
peach-fog-65;effect-size-ds;1y;2022-2023;20d;0,1;0,005799982;351,0068486;3,89837497;0,035119142;0,002307615;100;523;finished;-;sal-souzasa;;2023-09-13T00:38:02.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;58;309883968;309885056;17525,10352
warm-surf-64;effect-size-ds;1y;2022-2023;20d;0,1;0,007329676;413,6789519;3,884944838;0,031363681;0,001828503;100;140;finished;-;sal-souzasa;;2023-09-13T00:35:14.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309883200;309884960;17525,10156
wandering-energy-63;effect-size-ds;1y;2022-2023;10d;0,1;0,00605102;581,389864;4,739713872;0,035987262;0,002361808;100;106;finished;-;sal-souzasa;;2023-09-13T00:32:31.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309881920;309884768;17525,09375
peach-smoke-62;effect-size-ds;1y;2022-2023;10d;0,1;0,001752211;879,602501;7,451243214;0,042113688;0,003378035;100;155;finished;-;sal-souzasa;;2023-09-13T00:29:18.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;309874240;309884480;17525,08789
whole-fire-61;effect-size-ds;1y;2022-2023;10d;0,1;0,007626944;1068,464793;7,102186963;0,036162432;0,002277168;100;168;finished;-;sal-souzasa;;2023-09-13T00:25:59.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;3;309883360;309884224;17525,08008
confused-voice-60;effect-size-ds;1y;2022-2023;10d;0,1;0,002203252;877,5497413;7,083831129;0,041937355;0,003271498;100;157;finished;-;sal-souzasa;;2023-09-13T00:12:28.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309877504;309884480;17525,08789
pleasant-firebrand-58;effect-size-ds;1y;2022-2023;10d;0,1;0,006661774;721,3494572;5,333962186;0,031699453;0,001933142;100;104;finished;-;sal-souzasa;;2023-09-13T00:01:51.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309883552;309884608;17525,0918
denim-resonance-57;effect-size-ds;1y;2022-2023;10d;0,1;0,002898888;771,357219;6,248653251;0,038512211;0,002826422;100;107;finished;-;sal-souzasa;;2023-09-12T23:59:20.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309875424;309884608;17525,08984
clean-snowflake-56;effect-size-ds;1y;2022-2023;05d;0,1;0,004115269;827,9010248;6,543873341;0,034842115;0,00227997;100;96;finished;-;sal-souzasa;;2023-09-12T23:56:40.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309872256;309884544;17525,08984
woven-durian-55;effect-size-ds;1y;2022-2023;05d;0,1;0,00865693;625,0100954;4,897579822;0,031725798;0,001922031;100;96;finished;-;sal-souzasa;;2023-09-12T23:54:30.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309873632;309884704;17525,09375
