"Name","experiment","size-dataset","date_range","lookback","dropout","learning_rate","RSME","MAPE","mae","loss","epoch","Runtime","State","Notes","User","Tags","Created","Sweep","activation_1","architecture","batch_size","dataset","loss_function","best_epoch","best_val_loss","val_loss","val_mae"
"rare-dragon-122","effect-size-ds","5y","2018-2023","30d","0.1","0.00481543557908314","329.1950504954268","2.721818705943236","0.01532390248030424","0.0005588579224422574","100","557","finished","-","sal-souzasa","","2023-09-15T21:37:46.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","3","818291264","818294464","26904.599609375"
"blooming-dawn-121","effect-size-ds","5y","2018-2023","30d","0.1","0.007406254095678292","206.06336011602303","2.5451282098037877","0.014681254513561726","0.0005091236089356244","100","487","finished","-","sal-souzasa","","2023-09-15T21:27:20.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818290304","818294400","26904.595703125"
"breezy-aardvark-120","effect-size-ds","5y","2018-2023","30d","0.1","0.007011238298888681","766.6495702066395","3.4941590090161316","0.015602407045662405","0.0005289895925670862","100","500","finished","-","sal-souzasa","","2023-09-15T21:18:19.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818290304","818293504","26904.58203125"
"charmed-wood-119","effect-size-ds","5y","2018-2023","30d","0.1","0.008644882088273142","79.94817337821816","2.4777094854195036","0.01588740572333336","0.0006105934735387564","100","738","finished","-","sal-souzasa","","2023-09-15T21:03:26.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","19","818291904","818294336","26904.59375"
"charmed-tree-118","effect-size-ds","5y","2018-2023","30d","0.1","0.00822999136161754","202.53359745511517","3.0740083355504244","0.016140824183821678","0.0006359624094329774","100","469","finished","-","sal-souzasa","","2023-09-15T20:54:11.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818288192","818293760","26904.58984375"
"ancient-frost-117","effect-size-ds","5y","2018-2023","30d","0.1","0.00863751830037297","571.512430661416","3.0934230590672587","0.014047647826373575","0.0005044923746027052","100","477","finished","-","sal-souzasa","","2023-09-15T20:45:30.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818290944","818294656","26904.603515625"
"balmy-shape-115","effect-size-ds","5y","2018-2023","20d","0.1","0.0017693991594982528","469.9580475101626","3.2315181271114977","0.013536769896745682","0.00048375059850513935","100","494","finished","-","sal-souzasa","","2023-09-15T20:33:29.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","11","818290816","818294592","26904.6015625"
"curious-rain-114","effect-size-ds","5y","2018-2023","20d","0.1","0.0025807219895672296","1104.2720666073849","4.609695896555581","0.014248269610106943","0.0005641158204525709","100","491","finished","-","sal-souzasa","","2023-09-15T20:24:37.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","2","818289984","818293248","26904.578125"
"amber-moon-113","effect-size-ds","5y","2018-2023","20d","0.1","0.00588612108512825","196.2312362381436","2.9546668182343505","0.013517986051738262","0.0004803114279638976","100","361","finished","-","sal-souzasa","","2023-09-15T20:17:57.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818291584","818294336","26904.595703125"
"wild-universe-112","effect-size-ds","5y","2018-2023","20d","0.1","0.0011664475077902937","100.54491128895664","3.6285026685389847","0.014736320823431017","0.0006156611489132047","100","355","finished","-","sal-souzasa","","2023-09-15T19:59:15.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818290304","818294208","26904.59375"
"dandy-breeze-111","effect-size-ds","5y","2018-2023","20d","0.1","0.005971022848728258","754.5458693258807","3.5549456591968807","0.014703067019581796","0.0004873004509136081","100","452","finished","-","sal-souzasa","","2023-09-15T19:50:49.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","2","818290688","818293440","26904.58203125"
"valiant-sponge-110","effect-size-ds","5y","2018-2023","20d","0.1","0.00428650263415249","456.51654069275065","2.796325991172812","0.01396669540554285","0.0005005561397410929","100","380","finished","-","sal-souzasa","","2023-09-15T19:43:43.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818291136","818293696","26904.587890625"
"worldly-wood-109","effect-size-ds","5y","2018-2023","10d","0.1","0.004910608699317675","636.1073954098916","3.182723223985684","0.013843816705048084","0.00048260833136737347","100","299","finished","-","sal-souzasa","","2023-09-15T19:37:36.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","7","818291136","818293568","26904.5859375"
"zesty-music-108","effect-size-ds","5y","2018-2023","10d","0.1","0.002201777635414701","1864.4806804708671","7.138182910970868","0.014502447098493576","0.0005485659930855036","100","244","finished","-","sal-souzasa","","2023-09-15T19:32:47.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818291264","818292352","26904.564453125"
"scarlet-firefly-107","effect-size-ds","5y","2018-2023","10d","0.1","0.003426767763963531","482.79685382791325","2.985895910639641","0.013193110935389996","0.00048068337491713464","100","265","finished","-","sal-souzasa","","2023-09-15T19:27:35.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818291200","818293568","26904.5859375"
"efficient-butterfly-105","effect-size-ds","5y","2018-2023","10d","0.1","0.00953602272000985","485.9641133130081","2.810575033585798","0.013751057907938955","0.00047090923180803657","100","235","finished","-","sal-souzasa","","2023-09-15T19:15:17.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818288832","818293568","26904.587890625"
"driven-pine-104","effect-size-ds","5y","2018-2023","10d","0.1","0.008559621038419729","7.527592522018971","2.3934244906908853","0.014059188775718212","0.00047751719830557704","100","250","finished","-","sal-souzasa","","2023-09-15T19:09:21.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818288448","818294208","26904.59375"
"denim-cherry-103","effect-size-ds","5y","2018-2023","10d","0.1","0.005114920464405216","1022.8825002117208","4.240055223659003","0.015350845642387869","0.00055821513524279","100","255","finished","-","sal-souzasa","","2023-09-15T19:04:24.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818290304","818293248","26904.578125"
"wandering-planet-102","effect-size-ds","5y","2018-2023","05d","0.1","0.002852763765942118","31.56398204607046","2.7918944883262236","0.016364825889468193","0.0006843659211881459","100","604","finished","-","sal-souzasa","","2023-09-15T18:52:46.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","60","818290240","818294144","26904.59375"
"copper-morning-101","effect-size-ds","5y","2018-2023","05d","0.1","0.003526326791094542","1868.5875201134825","7.144443431053686","0.01921744644641876","0.0009812437929213047","100","390","finished","-","sal-souzasa","","2023-09-15T18:45:26.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","40","818289984","818295936","26904.623046875"
"fresh-waterfall-100","effect-size-ds","5y","2018-2023","05d","0.1","0.008873341098421424","3306.01244389397","12.276240635773988","0.017188645899295807","0.0007658054237253964","100","226","finished","-","sal-souzasa","","2023-09-15T18:26:14.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818288192","818291008","26904.54296875"
"charmed-haze-99","effect-size-ds","5y","2018-2023","05d","0.1","0.0014933262709144832","454.7564204352981","3.373435817678593","0.01604640670120716","0.0007248460897244513","100","523","finished","-","sal-souzasa","","2023-09-15T18:12:32.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","71","818291008","818293568","26904.587890625"
"comic-flower-98","effect-size-ds","5y","2018-2023","05d","0.1","0.007406330919791114","879.4693084137873","3.66560132150483","0.01739812083542347","0.000749282306060195","100","371","finished","-","sal-souzasa","","2023-09-15T18:02:59.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","56","818289792","818293312","26904.580078125"
"dulcet-shape-96","effect-size-ds","5y","2018-2023","05d","0.1","0.0012685308103964465","458.98255155403115","4.041589207390018","0.016576597467064857","0.0007776748389005661","100","878","finished","-","sal-souzasa","","2023-09-15T17:35:24.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","74","818291584","818293568","26904.5859375"
"dainty-elevator-95","effect-size-ds","1y","2022-2023","60d","0.1","0.008815056874612209","826.0829697646104","6.085268074727447","0.028755871579051014","0.0014034800697118044","100","242","finished","-","sal-souzasa","","2023-09-13T20:02:13.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","309880384","309884544","17525.087890625"
"sandy-cosmos-94","effect-size-ds","1y","2022-2023","60d","0.1","0.007669297688037247","573.0942319399351","4.89289922212267","0.030524395406246185","0.0018324945122003555","100","245","finished","-","sal-souzasa","","2023-09-13T19:57:31.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","309882080","309884800","17525.09765625"
"dulcet-wave-93","effect-size-ds","1y","2022-2023","60d","0.1","0.00978916200433238","416.8204393262987","3.9737122356894408","0.029931997880339622","0.0016528296982869506","100","282","finished","-","sal-souzasa","","2023-09-13T19:50:51.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","309883616","309884960","17525.1015625"
