volume;date_range;lookback;dropout;learning_rate;rsme;mape
5y;2018-2023;10d;0,1;0,008559621;7,527592522;2,393424491
5y;2018-2023;10d;0,1;0,00511492;1022,8825;4,240055224
5y;2018-2023;20d;0,1;0,001769399;469,9580475;3,231518127
5y;2018-2023;20d;0,1;0,002580722;1104,272067;4,609695897
5y;2018-2023;20d;0,1;0,005886121;196,2312362;2,954666818
5y;2018-2023;20d;0,1;0,001166448;100,5449113;3,628502669
5y;2018-2023;20d;0,1;0,005971023;754,5458693;3,554945659
5y;2018-2023;20d;0,1;0,004286503;456,5165407;2,796325991
5y;2018-2023;30d;0,1;0,004815436;329,1950505;2,721818706
5y;2018-2023;30d;0,1;0,007406254;206,0633601;2,54512821
5y;2018-2023;30d;0,1;0,007011238;766,6495702;3,494159009
5y;2018-2023;30d;0,1;0,008644882;79,94817338;2,477709485
5y;2018-2023;30d;0,1;0,008229991;202,5335975;3,074008336
5y;2018-2023;30d;0,1;0,008637518;571,5124307;3,093423059
5y;2018-2023;40d;0,1;0,006819974;1294,345386;5,581878934
5y;2018-2023;40d;0,1;0,008584982;54,05728637;2,446545331
5y;2018-2023;40d;0,1;0,008936426;818,4006553;3,871358361
5y;2018-2023;40d;0,1;0,007859944;480,3733883;2,92483256
5y;2018-2023;40d;0,1;0,005936747;684,823536;3,62084778
5y;2018-2023;40d;0,1;0,004427334;93,29590373;2,633108749
5y;2018-2023;40d;0,1;0,00607711;165,8613467;2,538048867
5y;2018-2023;50d;0,1;0,001194338;184,3267515;3,540064031
5y;2018-2023;50d;0,1;0,007617379;277,750958;2,769349434
5y;2018-2023;50d;0,1;0,005337743;432,9661988;2,939937128
5y;2018-2023;50d;0,1;0,007278277;406,0136533;2,875867211
5y;2018-2023;50d;0,1;0,002733095;1159,016625;4,696990078
5y;2018-2023;50d;0,1;0,009194523;644,4779307;3,060341328
5y;2018-2023;60d;0,1;0,005536769;265,5432519;2,934054501
5y;2018-2023;60d;0,1;0,006956544;438,9366478;3,344164704
5y;2018-2023;60d;0,1;0,002167678;227,3370305;2,936773949
5y;2018-2023;60d;0,1;0,008026807;198,6703294;2,556165718
5y;2018-2023;60d;0,1;0,00212241;39,93702363;2,751509224
5y;2018-2023;60d;0,1;0,006777175;1282,277397;5,517846928
