"Name","timeperiod","batch_size","dropout","epochs","epoch/epoch","optimizer","learning_rate","Runtime","RSME","MAPE","State","User","Created","Sweep","architecture_name","dataset_name","batch/batch_step","batch/learning_rate","batch/loss","batch/mse","epoch/learning_rate","epoch/loss","epoch/mse","epoch/val_loss","epoch/val_mse"
"giddy-sweep-6","5d","64","0.3","100","99","adam","0.07111052498439142","4792","866.9391434832318","6.543184175907182","finished","sal-souzasa","2023-09-10T05:04:43.000Z","5csk477r","LSTM","BTC","2990","0.07111052423715591","0.0011666021309792995","0.0011666021309792995","0.07111052423715591","0.0011811573058366776","0.0011811573058366776","818294848","818294848"
"silvery-sweep-5","5d","64","0.3","100","99","adam","0.04024413263331555","4814","2515.0044593707657","8.41175768251063","finished","sal-souzasa","2023-09-10T03:44:24.000Z","5csk477r","LSTM","BTC","2990","0.04024413228034973","0.0010607916628941894","0.0010607916628941894","0.04024413228034973","0.0010619055246934297","0.0010619055246934297","818296768","818296768"
"morning-sweep-4","5d","64","0.2","100","99","sgd","0.07100454238824389","4931","3474.920239456301","14.70308265351159","finished","sal-souzasa","2023-09-10T02:22:10.000Z","5csk477r","LSTM","BTC","2990","0.07100453972816467","0.0017807409167289734","0.0017807409167289734","0.07100453972816467","0.0018168665701523423","0.0018168665701523423","818291392","818291392"
"fluent-sweep-3","5d","64","0.2","100","99","sgd","0.0547248128660201","5552","4324.273432206978","18.293587919049983","finished","sal-souzasa","2023-09-10T00:49:35.000Z","5csk477r","LSTM","BTC","2990","0.054724812507629395","0.001887136255390942","0.001887136255390942","0.054724812507629395","0.0018222403014078736","0.0018222403014078736","818290560","818290560"
"ruby-sweep-2","5d","64","0.2","100","99","sgd","0.09067886094421436","5797","2261.0331713668697","9.702608729162584","finished","sal-souzasa","2023-09-09T23:12:56.000Z","5csk477r","LSTM","BTC","2990","0.0906788632273674","0.001968593569472432","0.001968593569472432","0.0906788632273674","0.0021353866904973984","0.0021353866904973984","818292288","818292288"
"vivid-sweep-1","5d","64","0.1","100","99","adam","0.08064728828059882","5216","2756.606220359078","11.051722941923355","finished","sal-souzasa","2023-09-09T21:45:56.000Z","5csk477r","LSTM","BTC","2990","0.0806472897529602","0.001283972174860537","0.001283972174860537","0.0806472897529602","0.0012785154394805431","0.0012785154394805431","818291712","818291712"
"lilac-sweep-6","60d","64","0.2","100","99","adam","0.08891930977478121","5814","40661.86581131436","182.2521422840607","finished","sal-souzasa","2023-09-09T19:27:50.000Z","ctu6bx5t","LSTM","BTC","2990","0.08891931176185608","0.6484473347663879","0.6484473347663879","0.08891931176185608","0.6498949527740479","0.6498949527740479","818263168","818263168"
"cosmic-sweep-5","60d","64","0.3","100","99","adam","0.010747219704146042","5590","289.70556772950545","2.8171775701463804","finished","sal-souzasa","2023-09-09T17:54:35.000Z","ctu6bx5t","LSTM","BTC","2990","0.010747219435870647","0.000873657816555351","0.000873657816555351","0.010747219435870647","0.0008777573239058256","0.0008777573239058256","818293888","818293888"
"unique-sweep-4","60d","64","0.3","100","99","adam","0.05604663146422149","5292","19500.774019732384","93.88853343914406","finished","sal-souzasa","2023-09-09T16:26:17.000Z","ctu6bx5t","LSTM","BTC","2990","0.056046631187200546","0.012567601166665554","0.012567601166665554","0.056046631187200546","0.012551482766866684","0.012551482766866684","818280704","818280704"
"expert-sweep-3","60d","64","0.3","100","99","sgd","0.04117008858220851","5685","5235.188172213753","21.880674201470583","finished","sal-souzasa","2023-09-09T14:51:29.000Z","ctu6bx5t","LSTM","BTC","2990","0.041170090436935425","0.0034153000451624393","0.0034153000451624393","0.041170090436935425","0.003388880053535104","0.003388880053535104","818289856","818289856"
"eternal-sweep-2","60d","64","0.2","100","99","sgd","0.005017454605898288","6542","5316.890016302506","22.698738991751817","finished","sal-souzasa","2023-09-09T13:02:21.000Z","ctu6bx5t","LSTM","BTC","2990","0.005017454735934734","0.0037850607186555862","0.0037850607186555862","0.005017454735934734","0.0037292959168553352","0.0037292959168553352","818289856","818289856"
"mild-sweep-1","60d","64","0.3","100","99","sgd","0.014359066792559164","6238","4812.296663279133","20.522057343970417","finished","sal-souzasa","2023-09-09T11:18:17.000Z","ctu6bx5t","LSTM","BTC","2990","0.0143590671941638","0.003918444272130728","0.003918444272130728","0.0143590671941638","0.003916113171726465","0.003916113171726465","818290240","818290240"
"fiery-sweep-6","50d","64","0.3","100","99","adam","0.06696800862264626","5194","12231.39500497544","58.30723262978326","finished","sal-souzasa","2023-09-09T09:45:27.000Z","iipf632o","LSTM","BTC","2990","0.06696800887584686","0.014696135185658932","0.014696135185658932","0.06696800887584686","0.01446989644318819","0.01446989644318819","818284480","818284480"
"fluent-sweep-5","50d","64","0.2","100","99","sgd","0.07594979931852829","5150","3690.5763888888887","15.684636487063727","finished","sal-souzasa","2023-09-09T08:19:34.000Z","iipf632o","LSTM","BTC","2990","0.07594980299472809","0.002495710039511323","0.002495710039511323","0.07594980299472809","0.002557711210101843","0.002557711210101843","818291136","818291136"
"swift-sweep-4","50d","64","0.2","100","99","sgd","0.05500883239104176","5157","3030.3882854844173","13.440196008816793","finished","sal-souzasa","2023-09-09T06:53:30.000Z","iipf632o","LSTM","BTC","2990","0.05500883236527443","0.002821796340867877","0.002821796340867877","0.05500883236527443","0.00286851916462183","0.00286851916462183","818291648","818291648"
"faithful-sweep-3","50d","64","0.2","100","99","sgd","0.0899826342679505","4990","2842.096370045732","12.56422020120374","finished","sal-souzasa","2023-09-09T05:30:15.000Z","iipf632o","LSTM","BTC","2990","0.08998263627290726","0.002520771697163582","0.002520771697163582","0.08998263627290726","0.002487284131348133","0.002487284131348133","818291712","818291712"
"treasured-sweep-2","50d","64","0.1","100","99","adam","0.03016014104718895","5069","1753.0197376778456","11.295523188994135","finished","sal-souzasa","2023-09-09T04:05:44.000Z","iipf632o","LSTM","BTC","2990","0.03016014024615288","0.0007797750295139849","0.0007797750295139849","0.03016014024615288","0.0007851120317354798","0.0007851120317354798","818293184","818293184"
"absurd-sweep-1","50d","64","0.1","100","99","sgd","0.08157247441517827","5061","2262.099016556572","10.692497492557582","finished","sal-souzasa","2023-09-09T02:41:21.000Z","iipf632o","LSTM","BTC","2990","0.08157247304916382","0.002300034509971738","0.002300034509971738","0.08157247304916382","0.002340968931093812","0.002340968931093812","818292288","818292288"
"worthy-sweep-6","40d","64","0.1","100","99","adam","0.05227054841756884","5163","5383.196434620596","23.505284688525222","finished","sal-souzasa","2023-09-09T01:06:31.000Z","rjy9997p","LSTM","BTC","2990","0.052270546555519104","0.008993023075163364","0.008993023075163364","0.052270546555519104","0.008767588064074516","0.008767588064074516","818289664","818289664"
