"Name","experiment","size-dataset","date_range","lookback","dropout","learning_rate","RSME","MAPE","mae","loss","epoch","Runtime","State","Notes","User","Tags","Created","Sweep","activation_1","architecture","batch_size","dataset","loss_function","best_epoch","best_val_loss","val_loss","val_mae"
"glamorous-eon-81","effect-size-ds","1y","2022-2023","40d","0.1","0.006152389524751351","847.6717228084416","6.202943292376822","0.034509845077991486","0.002302834764122963","100","216","finished","-","sal-souzasa","","2023-09-13T02:07:35.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","309882304","309884480","17525.087890625"
"crisp-sponge-80","effect-size-ds","1y","2022-2023","40d","0.1","0.008735627471576989","1321.5175020292209","8.351687724714488","0.032045625150203705","0.0019339182181283832","100","342","finished","-","sal-souzasa","","2023-09-13T02:00:52.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","24","309883424","309884000","17525.072265625"
"stellar-wind-79","effect-size-ds","1y","2022-2023","40d","0.1","0.006836281812979984","616.2258269074675","4.922257202479322","0.02990029379725456","0.0017609231872484088","100","218","finished","-","sal-souzasa","","2023-09-13T01:52:10.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","1","309882656","309884704","17525.09375"
"super-wildflower-78","effect-size-ds","1y","2022-2023","40d","0.1","0.007991109352423165","694.3669592126623","5.022790352912643","0.0283966101706028","0.0016465986846014855","100","173","finished","-","sal-souzasa","","2023-09-13T01:48:38.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309879584","309884640","17525.09375"
"rose-feather-77","effect-size-ds","1y","2022-2023","40d","0.1","0.009262126171964863","947.5033482142856","6.387781034125495","0.03422364965081215","0.0021452936343848705","100","175","finished","-","sal-souzasa","","2023-09-13T01:45:10.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309882944","309884384","17525.083984375"
"comic-wind-76","effect-size-ds","1y","2022-2023","40d","0.1","0.0016541385129721798","1020.961317978896","7.64092351825352","0.04268210753798485","0.003417667932808399","100","175","finished","-","sal-souzasa","","2023-09-13T01:41:38.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309877920","309884320","17525.08203125"
"astral-oath-75","effect-size-ds","1y","2022-2023","30d","0.1","0.00809962157521427","848.2747311282468","5.918161281094693","0.03276447579264641","0.0019771314691752195","100","147","finished","-","sal-souzasa","","2023-09-13T01:38:06.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309881952","309884480","17525.087890625"
"helpful-wave-74","effect-size-ds","1y","2022-2023","30d","0.1","0.005638098258460992","673.8360896915584","5.219288993899077","0.03082665055990219","0.0018097496358677745","100","148","finished","-","sal-souzasa","","2023-09-13T01:34:47.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309883520","309884672","17525.09375"
"spring-smoke-73","effect-size-ds","1y","2022-2023","30d","0.1","0.0020918860413740477","1211.605265827922","8.577478541552424","0.040140409022569656","0.0028772347141057253","100","158","finished","-","sal-souzasa","","2023-09-13T01:31:33.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","309878240","309884128","17525.076171875"
"genial-pyramid-72","effect-size-ds","1y","2022-2023","30d","0.1","0.00945155722253379","626.0838068181819","4.921667464463679","0.03286576643586159","0.0020027398131787777","100","252","finished","-","sal-souzasa","","2023-09-13T01:26:43.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","3","309882912","309884704","17525.09375"
